"Marché";"Marché Label";"Jour";"Jour dd/mm/yyyy";"Jour de la semaine";"Heure";"Poids CA (Global)";"Nb tickets";"Panier Moyen";"Qtés vendues"
;;;;"Lundi";"Total";"100,00%";"--";"--";65
;;;;;"10 - 11 heures";"6,27%";1;150,5;1
;;;;;"11 - 12 heures";"9,41%";4;56,43;6
;;;;;"12 - 13 heures";"4,72%";4;28,28;6
;;;;;"13 - 14 heures";"15,86%";4;95,11;5
;;;;;"14 - 15 heures";"11,57%";6;46,25;12
;;;;;"15 - 16 heures";"19,05%";8;57,11;10
;;;;;"16 - 17 heures";"5,93%";7;20,32;9
;;;;;"17 - 18 heures";"9,28%";4;55,63;5
;;;;;"18 - 19 heures";"14,17%";8;42,49;8
;;;;;"19 - 20 heures";"0,72%";1;17,25;2
;;;;;"20 - 21 heures";"3,02%";1;72,5;1
;;"12 Janvier 2016";"12/01/2016";"Total";;"100,00%";"--";"--";57
;;;;"Mardi";"Total";"100,00%";"--";"--";57
;;;;;"9 - 10 heures";"4,54%";2;40,1;3
;;;;;"10 - 11 heures";"8,72%";3;51,33;4
;;;;;"11 - 12 heures";"7,21%";3;42,48;4
;;;;;"12 - 13 heures";"9,20%";4;40,61;4
;;;;;"13 - 14 heures";"7,92%";2;70;5
;;;;;"14 - 15 heures";"15,11%";5;53,38;7
;;;;;"15 - 16 heures";"12,35%";7;31,16;10
;;;;;"16 - 17 heures";"11,19%";4;49,4;7
;;;;;"17 - 18 heures";"7,44%";4;32,88;4
;;;;;"18 - 19 heures";"7,89%";4;34,85;4
;;;;;"19 - 20 heures";"3,82%";2;33,75;2
;;;;;"20 - 21 heures";"4,61%";1;81,5;3
;;"13 Janvier 2016";"13/01/2016";"Total";;"100,00%";"--";"--";72
;;;;"Mercredi";"Total";"100,00%";"--";"--";72
;;;;;"9 - 10 heures";"5,60%";1;155,5;3
;;;;;"10 - 11 heures";"9,22%";4;63,98;5
;;;;;"11 - 12 heures";"1,60%";2;22,25;4
;;;;;"12 - 13 heures";"3,04%";2;42,25;2
;;;;;"13 - 14 heures";"15,82%";6;73,18;7
;;;;;"14 - 15 heures";"3,42%";2;47,4;3
;;;;;"15 - 16 heures";"5,67%";3;52,47;3
;;;;;"16 - 17 heures";"20,29%";8;70,38;14
;;;;;"17 - 18 heures";"10,23%";7;40,57;10
;;;;;"18 - 19 heures";"15,21%";6;70,37;7
;;;;;"19 - 20 heures";"8,17%";5;45,36;11
;;;;;"20 - 21 heures";"1,71%";1;47,5;3
;;"14 Janvier 2016";"14/01/2016";"Total";;"100,00%";"--";"--";62
;;;;"Jeudi";"Total";"100,00%";"--";"--";62
;;;;;"10 - 11 heures";"12,40%";4;71,98;5
;;;;;"11 - 12 heures";"3,49%";1;81;1
;;;;;"12 - 13 heures";"10,52%";4;61,1;8
;;;;;"13 - 14 heures";"21,41%";6;82,87;10
;;;;;"14 - 15 heures";"1,03%";1;24;1
;;;;;"15 - 16 heures";"5,92%";4;34,35;4
;;;;;"16 - 17 heures";"11,28%";6;43,67;6
;;;;;"17 - 18 heures";"10,53%";7;34,93;8
;;;;;"18 - 19 heures";"17,69%";5;82,18;16
;;;;;"19 - 20 heures";"3,25%";2;37,7;2
;;;;;"20 - 21 heures";"2,48%";1;57,5;1
;;"15 Janvier 2016";"15/01/2016";"Total";;"100,00%";"--";"--";70
;;;;"Vendredi";"Total";"100,00%";"--";"--";70
;;;;;"10 - 11 heures";"6,85%";1;154,5;2
;;;;;"11 - 12 heures";"10,66%";3;80,17;4
;;;;;"12 - 13 heures";"13,21%";8;37,24;15
;;;;;"13 - 14 heures";"12,07%";5;54,44;10
;;;;;"14 - 15 heures";"3,37%";3;25,33;3
;;;;;"15 - 16 heures";"-7,95%";4;-44,8;1
;;;;;"16 - 17 heures";"32,62%";8;91,95;14
;;;;;"17 - 18 heures";"18,42%";6;69,23;10
;;;;;"18 - 19 heures";"6,09%";5;27,48;6
;;;;;"19 - 20 heures";"4,12%";2;46,5;3
;;;;;"20 - 21 heures";"0,52%";1;11,8;2
;;"16 Janvier 2016";"16/01/2016";"Total";;"100,00%";"--";"--";124
;;;;"Samedi";"Total";"100,00%";"--";"--";124
;;;;;"9 - 10 heures";"2,38%";2;48;2
;;;;;"10 - 11 heures";"8,62%";5;69,7;6
;;;;;"11 - 12 heures";"3,30%";5;26,71;8
;;;;;"12 - 13 heures";"4,68%";4;47,31;7
;;;;;"13 - 14 heures";"3,62%";6;24,38;8
;;;;;"14 - 15 heures";"5,26%";7;30,37;10
;;;;;"15 - 16 heures";"13,79%";13;42,88;17
;;;;;"16 - 17 heures";"14,10%";12;47,49;17
;;;;;"17 - 18 heures";"23,57%";17;56,03;26
;;;;;"18 - 19 heures";"12,42%";11;45,62;14
;;;;;"19 - 20 heures";"6,81%";5;55,06;7
;;;;;"20 - 21 heures";"1,45%";1;58,5;2
;;"18 Janvier 2016";"18/01/2016";"Total";;"100,00%";"--";"--";34
;;;;"Lundi";"Total";"100,00%";"--";"--";34
;;;;;"11 - 12 heures";"12,19%";3;58,87;6
;;;;;"12 - 13 heures";"8,73%";2;63,25;2
;;;;;"13 - 14 heures";"13,84%";2;100,25;2
;;;;;"14 - 15 heures";"2,45%";2;17,73;3
;;;;;"15 - 16 heures";"34,77%";8;62,98;10
;;;;;"16 - 17 heures";"10,63%";4;38,5;5
;;;;;"17 - 18 heures";"2,35%";1;34;1
;;;;;"18 - 19 heures";"12,80%";3;61,83;4
;;;;;"19 - 20 heures";"2,26%";1;32,7;1
;;"19 Janvier 2016";"19/01/2016";"Total";;"100,00%";"--";"--";65
;;;;"Mardi";"Total";"100,00%";"--";"--";65
;;;;;"9 - 10 heures";"1,66%";1;27,4;2
;;;;;"10 - 11 heures";"6,37%";2;52,6;3
;;;;;"11 - 12 heures";"5,52%";2;45,63;6
;;;;;"12 - 13 heures";"-3,93%";-1;65;-2
;;;;;"13 - 14 heures";"13,86%";4;57,28;7
;;;;;"14 - 15 heures";"7,39%";4;30,55;4
;;;;;"15 - 16 heures";"11,42%";7;26,97;11
;;;;;"16 - 17 heures";"25,95%";9;47,64;18
;;;;;"17 - 18 heures";"10,17%";3;56;5
;;;;;"18 - 19 heures";"6,11%";2;50,45;4
;;;;;"19 - 20 heures";"15,49%";5;51,2;7
;;"20 Janvier 2016";"20/01/2016";"Total";;"100,00%";"--";"--";68
;;;;"Mercredi";"Total";"100,00%";"--";"--";68
;;;;;"10 - 11 heures";"0,94%";2;9,73;2
;;;;;"11 - 12 heures";"9,05%";4;46,64;5
;;;;;"12 - 13 heures";"10,16%";3;69,83;3
;;;;;"13 - 14 heures";"4,33%";2;44,6;4
;;;;;"14 - 15 heures";"6,60%";4;34;5
;;;;;"15 - 16 heures";"14,84%";7;43,7;7
;;;;;"16 - 17 heures";"3,88%";2;40;2
;;;;;"17 - 18 heures";"18,05%";8;46,52;16
;;;;;"18 - 19 heures";"21,18%";8;54,58;16
;;;;;"19 - 20 heures";"8,14%";5;33,57;7
;;;;;"20 - 21 heures";"2,84%";1;58,5;1
;;"21 Janvier 2016";"21/01/2016";"Total";;"100,00%";"--";"--";68
;;;;"Jeudi";"Total";"100,00%";"--";"--";68
;;;;;"10 - 11 heures";"2,10%";1;46,5;1
;;;;;"11 - 12 heures";"12,45%";8;34,41;12
;;;;;"12 - 13 heures";"5,23%";3;38,53;4
;;;;;"13 - 14 heures";"13,54%";4;74,83;9
;;;;;"14 - 15 heures";"6,98%";3;51,43;4
;;;;;"15 - 16 heures";"13,10%";9;32,19;10
;;;;;"16 - 17 heures";"21,50%";8;59,43;13
;;;;;"17 - 18 heures";"1,54%";1;34;1
;;;;;"18 - 19 heures";"11,96%";4;66,13;7
;;;;;"19 - 20 heures";"11,60%";5;51,29;7
;;"22 Janvier 2016";"22/01/2016";"Total";;"100,00%";"--";"--";63
;;;;"Vendredi";"Total";"100,00%";"--";"--";63
;;;;;"9 - 10 heures";"3,21%";1;51,5;1
;;;;;"10 - 11 heures";"2,52%";1;40,5;1
;;;;;"11 - 12 heures";"3,43%";1;55;1
;;;;;"12 - 13 heures";"9,60%";2;77;3
;;;;;"13 - 14 heures";"11,64%";6;31,14;13
;;;;;"14 - 15 heures";"2,29%";3;12,27;3
;;;;;"15 - 16 heures";"12,58%";5;40,36;8
;;;;;"16 - 17 heures";"23,06%";8;46,26;12
;;;;;"17 - 18 heures";"6,79%";3;36,33;5
;;;;;"18 - 19 heures";"10,06%";5;32,3;11
;;;;;"19 - 20 heures";"8,70%";2;69,8;3
;;;;;"20 - 21 heures";"6,11%";1;98;2
;;"23 Janvier 2016";"23/01/2016";"Total";;"100,00%";"--";"--";139
;;;;"Samedi";"Total";"100,00%";"--";"--";139
;;;;;"9 - 10 heures";"0,59%";1;29;1
;;;;;"10 - 11 heures";"9,51%";5;93,48;12
;;;;;"11 - 12 heures";"3,44%";6;28,17;12
;;;;;"12 - 13 heures";"4,54%";4;55,75;4
;;;;;"13 - 14 heures";"2,59%";5;25,43;9
;;;;;"14 - 15 heures";"7,85%";9;42,91;12
