"Marché";"Marché Label";"Jour";"Jour dd/mm/yyyy";"Jour de la semaine";"Heure";"Poids CA (Global)";"Nb tickets";"Panier Moyen";"Qtés vendues"
;;;;;"9 - 10 heures";"2,52%";1;50;2
;;;;;"10 - 11 heures";"5,61%";3;37,13;3
;;;;;"11 - 12 heures";"1,85%";1;36,7;6
;;;;;"12 - 13 heures";"9,07%";3;60,07;4
;;;;;"13 - 14 heures";"13,39%";4;66,5;6
;;;;;"14 - 15 heures";"17,80%";2;176,75;7
;;;;;"15 - 16 heures";"7,95%";2;79;4
;;;;;"16 - 17 heures";"15,10%";6;50;9
;;;;;"17 - 18 heures";"12,18%";4;60,48;6
;;;;;"18 - 19 heures";"10,35%";3;68,5;3
;;;;;"19 - 20 heures";"4,18%";2;41,5;2
;;"06 Octobre 2016";"06/10/2016";"Total";;"100,00%";"--";"--";28
;;;;"Jeudi";"Total";"100,00%";"--";"--";28
;;;;;"10 - 11 heures";"18,22%";3;85,67;5
;;;;;"11 - 12 heures";"13,11%";3;61,63;4
;;;;;"12 - 13 heures";"5,11%";1;72;1
;;;;;"13 - 14 heures";"3,23%";1;45,5;1
;;;;;"14 - 15 heures";"6,02%";1;84,9;1
;;;;;"15 - 16 heures";"10,10%";2;71,25;2
;;;;;"16 - 17 heures";"1,13%";1;16;1
;;;;;"17 - 18 heures";"24,99%";5;70,5;6
;;;;;"18 - 19 heures";"8,12%";2;57,25;2
;;;;;"19 - 20 heures";"9,96%";3;46,83;5
;;"07 Octobre 2016";"07/10/2016";"Total";;"100,00%";"--";"--";60
;;;;"Vendredi";"Total";"100,00%";"--";"--";60
;;;;;"10 - 11 heures";"8,65%";4;72,93;5
;;;;;"11 - 12 heures";"1,71%";1;57,5;1
;;;;;"12 - 13 heures";"3,26%";1;110;2
;;;;;"13 - 14 heures";"6,80%";3;76,43;6
;;;;;"14 - 15 heures";"8,15%";2;137,45;3
;;;;;"15 - 16 heures";"30,27%";10;102,08;15
;;;;;"16 - 17 heures";"6,89%";3;77,47;4
;;;;;"17 - 18 heures";"13,12%";5;88,5;11
;;;;;"18 - 19 heures";"14,37%";4;121,11;9
;;;;;"19 - 20 heures";"6,78%";2;114,25;4
;;"08 Octobre 2016";"08/10/2016";"Total";;"100,00%";"--";"--";110
;;;;"Samedi";"Total";"100,00%";"--";"--";110
;;;;;"10 - 11 heures";"9,59%";4;106,38;8
;;;;;"11 - 12 heures";"4,16%";5;36,89;8
;;;;;"12 - 13 heures";"6,90%";4;76,48;8
;;;;;"13 - 14 heures";"18,31%";8;101,54;18
;;;;;"14 - 15 heures";"9,18%";5;81,41;6
;;;;;"15 - 16 heures";"11,85%";9;58,42;14
;;;;;"16 - 17 heures";"8,45%";10;37,49;12
;;;;;"17 - 18 heures";"9,35%";9;46,1;11
;;;;;"18 - 19 heures";"5,70%";8;31,61;9
;;;;;"19 - 20 heures";"16,50%";7;104,57;16
;;"10 Octobre 2016";"10/10/2016";"Total";;"100,00%";"--";"--";47
;;;;"Lundi";"Total";"100,00%";"--";"--";47
;;;;;"10 - 11 heures";"1,70%";2;13,88;2
;;;;;"11 - 12 heures";"14,21%";2;115,75;3
;;;;;"12 - 13 heures";"8,96%";2;73;2
;;;;;"13 - 14 heures";"4,17%";2;34;2
;;;;;"14 - 15 heures";"28,23%";7;65,69;17
;;;;;"15 - 16 heures";"14,53%";6;39,43;8
;;;;;"16 - 17 heures";"12,86%";3;69,83;3
;;;;;"17 - 18 heures";"9,36%";3;50,83;4
;;;;;"18 - 19 heures";"5,96%";4;24,28;6
;;"11 Octobre 2016";"11/10/2016";"Total";;"100,00%";"--";"--";30
;;;;"Mardi";"Total";"100,00%";"--";"--";30
;;;;;"10 - 11 heures";"1,78%";1;20;1
;;;;;"11 - 12 heures";"9,77%";3;36,5;3
;;;;;"12 - 13 heures";"17,13%";3;64;3
;;;;;"13 - 14 heures";"17,66%";2;99;2
;;;;;"15 - 16 heures";"17,35%";3;64,83;7
;;;;;"16 - 17 heures";"-1,61%";1;-18,1;4
;;;;;"17 - 18 heures";"11,69%";2;65,5;3
;;;;;"18 - 19 heures";"14,01%";3;52,33;3
;;;;;"19 - 20 heures";"12,22%";4;34,25;4
;;"12 Octobre 2016";"12/10/2016";"Total";;"100,00%";"--";"--";43
;;;;"Mercredi";"Total";"100,00%";"--";"--";43
;;;;;"10 - 11 heures";"7,95%";2;69,5;3
;;;;;"11 - 12 heures";"5,03%";2;44;4
;;;;;"12 - 13 heures";"10,11%";6;29,45;6
;;;;;"13 - 14 heures";"3,32%";2;29,05;2
;;;;;"14 - 15 heures";"21,05%";3;122,67;8
;;;;;"15 - 16 heures";"27,43%";3;159,8;6
;;;;;"16 - 17 heures";"6,74%";4;29,48;4
;;;;;"17 - 18 heures";"1,34%";1;23,45;1
;;;;;"18 - 19 heures";"4,00%";2;34,98;5
;;;;;"19 - 20 heures";"13,01%";3;75,83;4
;;"13 Octobre 2016";"13/10/2016";"Total";;"100,00%";"--";"--";69
;;;;"Jeudi";"Total";"100,00%";"--";"--";69
;;;;;"9 - 10 heures";"1,00%";1;28,5;1
;;;;;"10 - 11 heures";"3,49%";2;50;3
;;;;;"11 - 12 heures";"6,34%";5;36,28;5
;;;;;"12 - 13 heures";"10,48%";4;74,99;6
;;;;;"13 - 14 heures";"8,08%";4;57,83;7
;;;;;"14 - 15 heures";"4,78%";3;45,6;7
;;;;;"15 - 16 heures";"29,85%";9;94,97;15
;;;;;"16 - 17 heures";"5,95%";6;28,38;7
;;;;;"17 - 18 heures";"6,15%";1;176;3
;;;;;"18 - 19 heures";"10,16%";4;72,74;7
;;;;;"19 - 20 heures";"6,69%";1;191,5;3
;;;;;"20 - 21 heures";"7,05%";2;100,95;5
;;"14 Octobre 2016";"14/10/2016";"Total";;"100,00%";"--";"--";55
;;;;"Vendredi";"Total";"100,00%";"--";"--";55
;;;;;"11 - 12 heures";"8,08%";2;111,5;3
;;;;;"12 - 13 heures";"14,07%";3;129,5;5
;;;;;"13 - 14 heures";"3,80%";3;35;3
;;;;;"14 - 15 heures";"4,42%";3;40,67;4
;;;;;"15 - 16 heures";"28,59%";8;98,69;15
;;;;;"16 - 17 heures";"6,77%";3;62,3;5
;;;;;"17 - 18 heures";"10,70%";7;42,21;7
;;;;;"18 - 19 heures";"15,81%";4;109,13;10
;;;;;"19 - 20 heures";"7,77%";3;71,5;3
;;"15 Octobre 2016";"15/10/2016";"Total";;"100,00%";"--";"--";90
;;;;"Samedi";"Total";"100,00%";"--";"--";90
;;;;;"10 - 11 heures";"5,32%";4;54,73;7
;;;;;"11 - 12 heures";"1,40%";1;57,5;1
;;;;;"12 - 13 heures";"7,40%";4;76,13;4
;;;;;"13 - 14 heures";"12,75%";9;58,28;11
;;;;;"14 - 15 heures";"13,49%";8;69,36;13
;;;;;"15 - 16 heures";"16,27%";6;111,5;13
;;;;;"16 - 17 heures";"11,13%";7;65,41;9
;;;;;"17 - 18 heures";"11,00%";8;56,56;9
;;;;;"18 - 19 heures";"10,35%";6;70,97;14
;;;;;"19 - 20 heures";"10,87%";8;55,86;9
;;"17 Octobre 2016";"17/10/2016";"Total";;"100,00%";"--";"--";43
;;;;"Lundi";"Total";"100,00%";"--";"--";43
;;;;;"10 - 11 heures";"6,94%";2;60,25;2
;;;;;"11 - 12 heures";"2,82%";2;24,5;3
;;;;;"12 - 13 heures";"15,05%";5;52,26;6
;;;;;"13 - 14 heures";"1,35%";1;23,5;1
;;;;;"14 - 15 heures";"31,63%";6;91,5;12
;;;;;"15 - 16 heures";"1,96%";1;34;1
;;;;;"16 - 17 heures";"17,57%";6;50,82;10
;;;;;"17 - 18 heures";"8,30%";3;48;3
;;;;;"18 - 19 heures";"9,48%";2;82,25;3
;;;;;"20 - 21 heures";"4,90%";2;42,5;2
;;"18 Octobre 2016";"18/10/2016";"Total";;"100,00%";"--";"--";42
;;;;"Mardi";"Total";"100,00%";"--";"--";42
;;;;;"11 - 12 heures";"1,77%";1;23,5;1
;;;;;"12 - 13 heures";"2,90%";2;19,25;2
;;;;;"13 - 14 heures";"6,45%";3;28,57;3
;;;;;"14 - 15 heures";"11,82%";4;39,29;7
;;;;;"15 - 16 heures";"15,34%";2;102;4
;;;;;"16 - 17 heures";"24,10%";5;64,08;9
;;;;;"17 - 18 heures";"12,70%";5;33,78;6
;;;;;"18 - 19 heures";"14,31%";4;47,58;5
;;;;;"19 - 20 heures";"10,61%";3;47;5
;;"19 Octobre 2016";"19/10/2016";"Total";;"100,00%";"--";"--";83
;;;;"Mercredi";"Total";"100,00%";"--";"--";83
;;;;;"11 - 12 heures";"8,79%";5;56,24;10
;;;;;"12 - 13 heures";"13,30%";5;85,1;7
;;;;;"13 - 14 heures";"2,13%";2;34;2
;;;;;"14 - 15 heures";"7,80%";4;62,35;5
;;;;;"15 - 16 heures";"2,02%";2;32,25;3
;;;;;"16 - 17 heures";"22,82%";12;60,83;22
;;;;;"17 - 18 heures";"24,25%";6;129,26;16
;;;;;"18 - 19 heures";"5,39%";5;34,46;6
;;;;;"19 - 20 heures";"13,32%";6;71;11
;;;;;"20 - 21 heures";"0,18%";1;5,9;1
;;"20 Octobre 2016";"20/10/2016";"Total";;"100,00%";"--";"--";82
;;;;"Jeudi";"Total";"100,00%";"--";"--";82
;;;;;"11 - 12 heures";"3,28%";3;29,15;5
;;;;;"12 - 13 heures";"3,15%";2;41,95;2
;;;;;"13 - 14 heures";"10,69%";6;47,52;11
;;;;;"14 - 15 heures";"6,80%";4;45,31;7
;;;;;"15 - 16 heures";"14,21%";9;42,11;11
;;;;;"16 - 17 heures";"22,56%";13;46,28;17
;;;;;"17 - 18 heures";"6,41%";3;57;4
;;;;;"18 - 19 heures";"18,13%";8;60,42;13
;;;;;"19 - 20 heures";"8,04%";6;35,75;9
;;;;;"20 - 21 heures";"6,73%";2;89,78;3
;;"21 Octobre 2016";"21/10/2016";"Total";;"100,00%";"--";"--";81
;;;;"Vendredi";"Total";"100,00%";"--";"--";81
;;;;;"9 - 10 heures";"3,20%";1;88,5;1
;;;;;"11 - 12 heures";"5,09%";4;35,21;5
;;;;;"12 - 13 heures";"5,42%";3;49,92;5
;;;;;"13 - 14 heures";"5,18%";4;35,84;6
;;;;;"14 - 15 heures";"15,95%";6;73,5;9
;;;;;"15 - 16 heures";"28,56%";11;71,81;21
;;;;;"16 - 17 heures";"10,12%";7;39,98;14
;;;;;"17 - 18 heures";"10,78%";4;74,53;8
;;;;;"18 - 19 heures";"9,82%";5;54,31;8
;;;;;"19 - 20 heures";"3,62%";2;50,06;3
;;;;;"20 - 21 heures";"2,26%";1;62,5;1
;;"22 Octobre 2016";"22/10/2016";"Total";;"100,00%";"--";"--";156
;;;;"Samedi";"Total";"100,00%";"--";"--";156
;;;;;"9 - 10 heures";"1,95%";3;40,57;4
;;;;;"10 - 11 heures";"0,54%";1;33,5;1
;;;;;"11 - 12 heures";"7,57%";9;52,52;12
;;;;;"12 - 13 heures";"7,27%";12;37,87;14
;;;;;"13 - 14 heures";"7,92%";5;99,02;10
;;;;;"14 - 15 heures";"14,16%";14;63,19;20
;;;;;"15 - 16 heures";"20,76%";16;81,08;30
;;;;;"16 - 17 heures";"7,93%";11;45,02;17
;;;;;"17 - 18 heures";"17,62%";10;110,12;27
;;;;;"18 - 19 heures";"11,68%";10;73,01;18
;;;;;"19 - 20 heures";"2,60%";3;54,17;3
;;"24 Octobre 2016";"24/10/2016";"Total";;"100,00%";"--";"--";88
;;;;"Lundi";"Total";"100,00%";"--";"--";88
;;;;;"11 - 12 heures";"15,10%";4;134,41;12
;;;;;"12 - 13 heures";"5,56%";3;65,97;4
;;;;;"13 - 14 heures";"5,19%";5;36,99;6
;;;;;"14 - 15 heures";"3,88%";4;34,53;8
;;;;;"15 - 16 heures";"17,17%";7;87,33;14
;;;;;"16 - 17 heures";"12,08%";9;47,81;12
;;;;;"17 - 18 heures";"16,22%";6;96,26;13
;;;;;"18 - 19 heures";"13,84%";9;54,77;14
;;;;;"19 - 20 heures";"10,97%";5;78,1;5
;;"25 Octobre 2016";"25/10/2016";"Total";;"100,00%";"--";"--";91
;;;;"Mardi";"Total";"100,00%";"--";"--";91
;;;;;"10 - 11 heures";"5,45%";3;64,91;9
;;;;;"11 - 12 heures";"1,39%";1;49,6;2
;;;;;"12 - 13 heures";"7,71%";4;68,86;7
;;;;;"13 - 14 heures";"9,71%";5;69,45;6
;;;;;"14 - 15 heures";"3,28%";2;58,62;3
;;;;;"15 - 16 heures";"20,95%";10;74,89;19
;;;;;"16 - 17 heures";"21,67%";4;193,63;9
;;;;;"17 - 18 heures";"12,29%";10;43,93;15
;;;;;"18 - 19 heures";"6,20%";6;36,94;9
;;;;;"19 - 20 heures";"9,70%";5;69,33;10
;;;;;"20 - 21 heures";"1,66%";1;59,2;2
;;"26 Octobre 2016";"26/10/2016";"Total";;"100,00%";"--";"--";117
;;;;"Mercredi";"Total";"100,00%";"--";"--";117
;;;;;"10 - 11 heures";"4,29%";5;33,47;6
;;;;;"11 - 12 heures";"9,99%";5;77,9;9
;;;;;"12 - 13 heures";"13,81%";5;107,72;13
;;;;;"13 - 14 heures";"8,43%";4;82,21;10
;;;;;"14 - 15 heures";"7,70%";4;75,11;4
;;;;;"15 - 16 heures";"7,94%";5;61,89;9
;;;;;"16 - 17 heures";"23,32%";9;101,05;20
;;;;;"17 - 18 heures";"16,43%";15;42,71;29
;;;;;"18 - 19 heures";"6,93%";4;67,55;13
;;;;;"19 - 20 heures";"0,15%";1;5,9;1
;;;;;"20 - 21 heures";"1,00%";2;19,43;3
;;"27 Octobre 2016";"27/10/2016";"Total";;"100,00%";"--";"--";106
;;;;"Jeudi";"Total";"100,00%";"--";"--";106
;;;;;"10 - 11 heures";"1,63%";2;30,9;2
;;;;;"11 - 12 heures";"13,97%";5;106,14;12
;;;;;"12 - 13 heures";"3,67%";2;69,75;6
;;;;;"13 - 14 heures";"5,75%";7;31,19;16
;;;;;"14 - 15 heures";"8,00%";4;76;5
;;;;;"15 - 16 heures";"9,91%";8;47,06;12
;;;;;"16 - 17 heures";"20,95%";13;61,22;19
;;;;;"17 - 18 heures";"7,29%";5;55,37;9
;;;;;"18 - 19 heures";"13,37%";5;101,6;11
;;;;;"19 - 20 heures";"15,47%";6;97,98;14
;;"28 Octobre 2016";"28/10/2016";"Total";;"100,00%";"--";"--";103
;;;;"Vendredi";"Total";"100,00%";"--";"--";103
;;;;;"10 - 11 heures";"3,45%";2;55,5;4
;;;;;"11 - 12 heures";"12,32%";6;65,96;10
;;;;;"12 - 13 heures";"4,01%";3;43;5
;;;;;"13 - 14 heures";"5,63%";6;30,17;6
;;;;;"14 - 15 heures";"9,68%";7;44,42;16
;;;;;"15 - 16 heures";"14,24%";9;50,83;14
;;;;;"16 - 17 heures";"13,47%";4;108,21;9
;;;;;"17 - 18 heures";"5,03%";4;40,38;9
;;;;;"18 - 19 heures";"8,61%";8;34,58;13
;;;;;"19 - 20 heures";"20,04%";8;80,49;15
;;;;;"20 - 21 heures";"3,52%";2;56,5;2
;;"29 Octobre 2016";"29/10/2016";"Total";;"100,00%";"--";"--";209
;;;;"Samedi";"Total";"100,00%";"--";"--";209
;;;;;"9 - 10 heures";"0,90%";1;82;1
;;;;;"10 - 11 heures";"5,65%";7;73,42;14
;;;;;"11 - 12 heures";"19,41%";19;92,88;46
;;;;;"12 - 13 heures";"9,64%";12;73,04;22
;;;;;"13 - 14 heures";"1,86%";4;42,38;4
;;;;;"14 - 15 heures";"6,92%";10;62,9;12
;;;;;"15 - 16 heures";"15,20%";21;65,82;30
;;;;;"16 - 17 heures";"13,60%";17;72,72;24
;;;;;"17 - 18 heures";"12,97%";11;107,17;30
;;;;;"18 - 19 heures";"7,33%";8;83,25;12
;;;;;"19 - 20 heures";"6,51%";10;59,22;14
;;"31 Octobre 2016";"31/10/2016";"Total";;"100,00%";"--";"--";157
;;;;"Lundi";"Total";"100,00%";"--";"--";157
;;;;;"10 - 11 heures";"3,70%";4;50,3;6
;;;;;"11 - 12 heures";"3,68%";6;33,37;7
;;;;;"12 - 13 heures";"10,78%";8;73,31;15
;;;;;"13 - 14 heures";"3,33%";3;60,34;4
;;;;;"14 - 15 heures";"23,95%";8;162,95;26
;;;;;"15 - 16 heures";"11,99%";13;50,18;21
;;;;;"16 - 17 heures";"14,49%";16;49,27;33
;;;;;"17 - 18 heures";"11,69%";9;70,68;22
;;;;;"18 - 19 heures";"11,42%";8;77,68;17
;;;;;"19 - 20 heures";"4,33%";3;78,53;5
;;;;;"20 - 21 heures";"0,66%";1;36;1
;;"02 Novembre 2016";"02/11/2016";"Total";;"100,00%";"--";"--";69
;;;;"Mercredi";"Total";"100,00%";"--";"--";69
;;;;;"10 - 11 heures";"6,25%";1;184,5;2
;;;;;"11 - 12 heures";"8,21%";6;40,38;11
;;;;;"12 - 13 heures";"10,78%";4;79,58;9
;;;;;"13 - 14 heures";"2,30%";2;34;2
;;;;;"14 - 15 heures";"11,85%";6;58,32;7
;;;;;"15 - 16 heures";"19,12%";8;70,56;12
;;;;;"16 - 17 heures";"15,54%";6;76,48;7
;;;;;"17 - 18 heures";"17,02%";4;125,63;11
;;;;;"18 - 19 heures";"2,25%";3;22,13;4
;;;;;"19 - 20 heures";"5,86%";2;86,5;3
;;;;;"20 - 21 heures";"0,81%";1;24;1
;;"03 Novembre 2016";"03/11/2016";"Total";;"100,00%";"--";"--";52
;;;;"Jeudi";"Total";"100,00%";"--";"--";52
;;;;;"10 - 11 heures";"0,90%";1;24;1
;;;;;"11 - 12 heures";"8,67%";3;76,67;4
;;;;;"12 - 13 heures";"25,17%";8;83,47;11
;;;;;"13 - 14 heures";"27,17%";9;80,1;14
;;;;;"14 - 15 heures";"4,64%";2;61,5;2
;;;;;"15 - 16 heures";"4,82%";4;32;4
;;;;;"16 - 17 heures";"4,41%";2;58,45;3
;;;;;"17 - 18 heures";"9,80%";5;52;6
;;;;;"18 - 19 heures";"6,78%";3;59,97;4
;;;;;"19 - 20 heures";"7,65%";3;67,63;3
;;"04 Novembre 2016";"04/11/2016";"Total";;"100,00%";"--";"--";55
;;;;"Vendredi";"Total";"100,00%";"--";"--";55
;;;;;"9 - 10 heures";"3,65%";1;81;1
;;;;;"10 - 11 heures";"0,90%";1;20;1
;;;;;"11 - 12 heures";"2,70%";1;60;1
;;;;;"12 - 13 heures";"4,36%";1;96,9;4
;;;;;"13 - 14 heures";"19,26%";3;142,67;13
;;;;;"14 - 15 heures";"0,90%";1;20;1
;;;;;"15 - 16 heures";"7,52%";3;55,67;5
;;;;;"16 - 17 heures";"14,31%";4;79,5;5
;;;;;"17 - 18 heures";"20,53%";7;65,16;11
;;;;;"18 - 19 heures";"20,35%";6;75,37;10
;;;;;"19 - 20 heures";"3,96%";2;44;2
;;;;;"20 - 21 heures";"1,55%";1;34,5;1
;;"05 Novembre 2016";"05/11/2016";"Total";;"100,00%";"--";"--";106
;;;;"Samedi";"Total";"100,00%";"--";"--";106
;;;;;"9 - 10 heures";"0,68%";1;32;1
;;;;;"10 - 11 heures";"5,55%";5;52,6;6
;;;;;"11 - 12 heures";"16,31%";7;110,43;15
;;;;;"12 - 13 heures";"8,77%";6;69,25;12
;;;;;"13 - 14 heures";"6,29%";7;42,56;8
;;;;;"14 - 15 heures";"7,24%";6;57,23;7
;;;;;"15 - 16 heures";"13,06%";9;68,77;13
;;;;;"16 - 17 heures";"9,63%";7;65,21;10
;;;;;"17 - 18 heures";"9,42%";7;63,82;10
;;;;;"18 - 19 heures";"21,45%";10;101,67;21
;;;;;"19 - 20 heures";"1,61%";2;38,25;3
;;"07 Novembre 2016";"07/11/2016";"Total";;"100,00%";"--";"--";40
;;;;"Lundi";"Total";"100,00%";"--";"--";40
;;;;;"10 - 11 heures";"10,45%";4;50,33;6
;;;;;"11 - 12 heures";"9,42%";3;60,5;3
;;;;;"12 - 13 heures";"3,69%";1;71;1
;;;;;"13 - 14 heures";"12,37%";4;59,6;5
;;;;;"14 - 15 heures";"2,75%";1;53;1
;;;;;"15 - 16 heures";"30,75%";4;148,13;10
;;;;;"16 - 17 heures";"19,52%";5;75,2;10
;;;;;"17 - 18 heures";"3,89%";1;75;1
;;;;;"18 - 19 heures";"1,27%";1;24,5;1
;;;;;"19 - 20 heures";"5,89%";2;56,75;2
;;"08 Novembre 2016";"08/11/2016";"Total";;"100,00%";"--";"--";74
;;;;"Mardi";"Total";"100,00%";"--";"--";74
;;;;;"10 - 11 heures";"2,26%";1;73,5;1
;;;;;"11 - 12 heures";"11,86%";4;96,6;13
;;;;;"12 - 13 heures";"1,95%";2;31,75;2
;;;;;"13 - 14 heures";"17,90%";7;83,27;13
;;;;;"14 - 15 heures";"6,59%";4;53,63;5
;;;;;"15 - 16 heures";"24,22%";9;87,64;17
;;;;;"16 - 17 heures";"22,32%";6;121,18;15
;;;;;"17 - 18 heures";"7,61%";3;82,63;4
;;;;;"18 - 19 heures";"2,98%";2;48,5;2
;;;;;"19 - 20 heures";"0,29%";1;9,5;1
;;;;;"20 - 21 heures";"2,03%";1;66;1
;;"09 Novembre 2016";"09/11/2016";"Total";;"100,00%";"--";"--";63
;;;;"Mercredi";"Total";"100,00%";"--";"--";63
;;;;;"10 - 11 heures";"3,62%";2;49,25;3
;;;;;"11 - 12 heures";"5,54%";2;75,45;4
;;;;;"12 - 13 heures";"10,65%";5;58;7
;;;;;"13 - 14 heures";"13,20%";6;59,9;6
;;;;;"14 - 15 heures";"2,94%";3;26,67;3
;;;;;"15 - 16 heures";"21,60%";7;84;12
;;;;;"16 - 17 heures";"12,12%";4;82,5;7
;;;;;"17 - 18 heures";"8,21%";2;111,75;4
;;;;;"18 - 19 heures";"14,05%";7;54,64;9
;;;;;"19 - 20 heures";"6,72%";3;60,93;6
;;;;;"20 - 21 heures";"1,34%";2;18,25;2
;;"10 Novembre 2016";"10/11/2016";"Total";;"100,00%";"--";"--";48
;;;;"Jeudi";"Total";"100,00%";"--";"--";48
;;;;;"10 - 11 heures";"4,78%";1;87;1
;;;;;"11 - 12 heures";"6,98%";2;63,45;5
;;;;;"12 - 13 heures";"3,79%";1;69;1
;;;;;"13 - 14 heures";"5,31%";2;48,25;2
;;;;;"14 - 15 heures";"12,61%";5;45,88;6
;;;;;"15 - 16 heures";"35,70%";9;72,14;15
;;;;;"16 - 17 heures";"2,00%";3;12,14;4
;;;;;"17 - 18 heures";"2,45%";1;44,5;1
;;;;;"18 - 19 heures";"9,45%";4;42,98;7
;;;;;"19 - 20 heures";"16,93%";4;77;6
;;"11 Novembre 2016";"11/11/2016";"Total";;"100,00%";"--";"--";72
;;;;"Vendredi";"Total";"100,00%";"--";"--";72
;;;;;"10 - 11 heures";"2,29%";1;80,5;2
;;;;;"11 - 12 heures";"3,56%";2;62,7;2
;;;;;"12 - 13 heures";"14,31%";5;100,7;7
;;;;;"13 - 14 heures";"12,40%";7;62,31;11
;;;;;"14 - 15 heures";"11,61%";4;102,13;6
;;;;;"15 - 16 heures";"12,49%";7;62,77;8
;;;;;"16 - 17 heures";"8,81%";7;44,29;10
;;;;;"17 - 18 heures";"13,23%";6;77,58;10
;;;;;"18 - 19 heures";"21,30%";12;62,45;16
;;"12 Novembre 2016";"12/11/2016";"Total";;"100,00%";"--";"--";103
;;;;"Samedi";"Total";"100,00%";"--";"--";103
;;;;;"9 - 10 heures";"1,95%";2;43,5;2
;;;;;"10 - 11 heures";"1,97%";2;43,85;3
;;;;;"11 - 12 heures";"9,96%";5;88,8;5
;;;;;"12 - 13 heures";"8,64%";6;64,17;9
;;;;;"13 - 14 heures";"3,84%";4;42,73;4
;;;;;"14 - 15 heures";"4,15%";3;61,67;3
;;;;;"15 - 16 heures";"13,12%";8;73,1;12
;;;;;"16 - 17 heures";"13,56%";10;60,42;16
;;;;;"17 - 18 heures";"29,73%";14;94,61;34
;;;;;"18 - 19 heures";"9,18%";10;40,9;11
;;;;;"19 - 20 heures";"3,90%";4;43,49;4
;;"14 Novembre 2016";"14/11/2016";"Total";;"100,00%";"--";"--";21
;;;;"Lundi";"Total";"100,00%";"--";"--";21
;;;;;"10 - 11 heures";"11,97%";2;50;2
;;;;;"11 - 12 heures";"8,97%";2;37,5;2
;;;;;"12 - 13 heures";"30,79%";3;85,77;5
;;;;;"13 - 14 heures";"6,87%";2;28,7;4
;;;;;"14 - 15 heures";"10,17%";2;42,5;2
;;;;;"15 - 16 heures";"20,10%";3;56;3
;;;;;"16 - 17 heures";"4,07%";1;34;1
;;;;;"17 - 18 heures";"5,98%";1;50;1
;;;;;"19 - 20 heures";"1,08%";1;9;1
;;"15 Novembre 2016";"15/11/2016";"Total";;"100,00%";"--";"--";48
;;;;"Mardi";"Total";"100,00%";"--";"--";48
;;;;;"10 - 11 heures";"26,15%";6;122,17;13
;;;;;"12 - 13 heures";"9,81%";2;137,5;3
;;;;;"13 - 14 heures";"7,51%";3;70,13;6
;;;;;"15 - 16 heures";"24,13%";7;96,64;10
;;;;;"16 - 17 heures";"15,09%";6;70,52;6
;;;;;"17 - 18 heures";"5,82%";3;54,33;3
;;;;;"18 - 19 heures";"5,01%";1;140,5;2
;;;;;"19 - 20 heures";"6,48%";1;181,5;5
;;"16 Novembre 2016";"16/11/2016";"Total";;"100,00%";"--";"--";46
;;;;"Mercredi";"Total";"100,00%";"--";"--";46
;;;;;"11 - 12 heures";"12,56%";4;61,2;6
;;;;;"12 - 13 heures";"4,62%";1;90;1
;;;;;"13 - 14 heures";"5,80%";2;56,5;3
;;;;;"14 - 15 heures";"18,06%";6;58,65;7
;;;;;"15 - 16 heures";"33,73%";11;59,75;17
;;;;;"17 - 18 heures";"11,30%";4;55,05;7
;;;;;"18 - 19 heures";"8,23%";3;53,47;3
;;;;;"19 - 20 heures";"5,70%";2;55,5;2
;;"17 Novembre 2016";"17/11/2016";"Total";;"100,00%";"--";"--";81
;;;;"Jeudi";"Total";"100,00%";"--";"--";81
;;;;;"10 - 11 heures";"3,80%";3;45,33;6
;;;;;"11 - 12 heures";"3,67%";2;65,7;2
;;;;;"12 - 13 heures";"9,21%";4;82,38;9
;;;;;"13 - 14 heures";"4,31%";3;51,33;3
;;;;;"14 - 15 heures";"6,92%";5;49,5;6
;;;;;"15 - 16 heures";"13,03%";9;51,77;13
;;;;;"16 - 17 heures";"21,19%";10;75,79;14
;;;;;"17 - 18 heures";"21,17%";7;108,14;17
;;;;;"18 - 19 heures";"15,22%";6;90,72;10
;;;;;"19 - 20 heures";"1,48%";1;53;1
;;"18 Novembre 2016";"18/11/2016";"Total";;"100,00%";"--";"--";79
;;;;"Vendredi";"Total";"100,00%";"--";"--";79
;;;;;"10 - 11 heures";"1,01%";1;39;1
;;;;;"11 - 12 heures";"5,52%";5;42,66;6
;;;;;"12 - 13 heures";"1,29%";2;25;2
;;;;;"13 - 14 heures";"16,81%";4;162,48;10
;;;;;"14 - 15 heures";"12,11%";6;78;9
;;;;;"15 - 16 heures";"27,12%";9;116,5;17
;;;;;"16 - 17 heures";"13,37%";9;57,43;17
;;;;;"17 - 18 heures";"8,84%";5;68,36;9
;;;;;"18 - 19 heures";"8,03%";5;62,08;6
;;;;;"19 - 20 heures";"5,90%";2;114,05;2
;;"19 Novembre 2016";"19/11/2016";"Total";;"100,00%";"--";"--";122
;;;;"Samedi";"Total";"100,00%";"--";"--";122
;;;;;"10 - 11 heures";"8,94%";5;98,2;12
;;;;;"11 - 12 heures";"10,72%";8;73,56;12
;;;;;"12 - 13 heures";"8,37%";4;114,88;10
;;;;;"13 - 14 heures";"8,59%";7;67,37;7
;;;;;"14 - 15 heures";"2,59%";3;47,43;3
;;;;;"15 - 16 heures";"9,08%";9;55,38;15
;;;;;"16 - 17 heures";"16,34%";13;69,02;18
