"Marché";"Marché label";"Jour";"Jour dd/mm/yyy";"Jour de la semaine";"Heure";"Poids CA (Global)";"Nb tickets";"Panier Moyen";"Qtés vendues"
;;;;;"9 - 10 heures";"0,86%";1;155;1
;;;;;"10 - 11 heures";"3,02%";6;90,33;7
;;;;;"11 - 12 heures";"7,99%";16;89,51;18
;;;;;"12 - 13 heures";"6,06%";14;77,62;19
;;;;;"13 - 14 heures";"7,17%";16;80,3;22
;;;;;"14 - 15 heures";"10,05%";15;120,11;22
;;;;;"15 - 16 heures";"15,65%";23;122;29
;;;;;"16 - 17 heures";"17,31%";23;134,93;34
;;;;;"17 - 18 heures";"15,49%";16;173,56;26
;;;;;"18 - 19 heures";"12,65%";20;113,36;23
;;;;;"19 - 20 heures";"2,25%";4;100,97;5
;;;;;"20 - 21 heures";"1,50%";4;67,1;5
;;"30 Mai 2015";"30/05/2015";"Total";;"100,00%";"--";"--";354
;;;;"Samedi";"Total";"100,00%";"--";"--";354
;;;;;"9 - 10 heures";"1,64%";3;156,75;5
;;;;;"10 - 11 heures";"7,63%";24;90,96;26
;;;;;"11 - 12 heures";"9,09%";18;144,6;26
;;;;;"12 - 13 heures";"6,26%";18;99,55;31
;;;;;"13 - 14 heures";"8,19%";16;146,55;26
;;;;;"14 - 15 heures";"4,45%";17;74,98;22
;;;;;"15 - 16 heures";"13,41%";34;112,9;48
;;;;;"16 - 17 heures";"16,27%";37;125,9;55
;;;;;"17 - 18 heures";"16,37%";35;133,86;58
;;;;;"18 - 19 heures";"8,97%";26;98,7;31
;;;;;"19 - 20 heures";"7,71%";18;122,59;26
;;"01 Juin 2015";"01/06/2015";"Total";;"100,00%";"--";"--";109
;;;;"Lundi";"Total";"100,00%";"--";"--";109
;;;;;"10 - 11 heures";"3,70%";3;139,67;4
;;;;;"11 - 12 heures";"11,21%";9;140,89;11
;;;;;"12 - 13 heures";"9,01%";4;254,75;4
;;;;;"13 - 14 heures";"13,48%";12;127;17
;;;;;"14 - 15 heures";"5,43%";7;87,71;8
;;;;;"15 - 16 heures";"14,51%";10;164,1;10
;;;;;"16 - 17 heures";"13,02%";12;122,75;16
;;;;;"17 - 18 heures";"6,38%";9;80,17;9
;;;;;"18 - 19 heures";"12,07%";11;124,08;14
;;;;;"19 - 20 heures";"4,07%";5;91,98;9
;;;;;"20 - 21 heures";"7,12%";3;268,33;7
;;"02 Juin 2015";"02/06/2015";"Total";;"100,00%";"--";"--";149
;;;;"Mardi";"Total";"100,00%";"--";"--";149
;;;;;"9 - 10 heures";"0,38%";1;59;1
;;;;;"10 - 11 heures";"3,38%";4;132,48;6
;;;;;"11 - 12 heures";"9,17%";14;102,78;18
;;;;;"12 - 13 heures";"5,22%";8;102,25;15
;;;;;"13 - 14 heures";"7,42%";11;105,73;11
;;;;;"14 - 15 heures";"8,20%";10;128,69;13
;;;;;"15 - 16 heures";"8,73%";14;97,85;17
;;;;;"16 - 17 heures";"29,23%";12;382,08;30
;;;;;"17 - 18 heures";"16,81%";17;155,08;25
;;;;;"18 - 19 heures";"4,45%";3;232,42;5
;;;;;"19 - 20 heures";"3,16%";3;165;5
;;;;;"20 - 21 heures";"3,86%";2;302,5;3
;;"03 Juin 2015";"03/06/2015";"Total";;"100,00%";"--";"--";150
;;;;"Mercredi";"Total";"100,00%";"--";"--";150
;;;;;"9 - 10 heures";"1,76%";2;115;2
;;;;;"10 - 11 heures";"3,59%";7;66,85;7
;;;;;"11 - 12 heures";"3,55%";5;92,6;7
;;;;;"12 - 13 heures";"5,72%";10;74,6;13
;;;;;"13 - 14 heures";"7,89%";9;114,33;13
;;;;;"14 - 15 heures";"13,10%";15;113,93;23
;;;;;"15 - 16 heures";"24,60%";16;200,56;24
;;;;;"16 - 17 heures";"8,12%";15;70,66;20
;;;;;"17 - 18 heures";"7,20%";10;93,9;15
;;;;;"18 - 19 heures";"6,13%";8;100;9
;;;;;"19 - 20 heures";"18,35%";6;399;17
;;"04 Juin 2015";"04/06/2015";"Total";;"100,00%";"--";"--";143
;;;;"Jeudi";"Total";"100,00%";"--";"--";143
;;;;;"9 - 10 heures";"-2,55%";-3;113;-6
;;;;;"10 - 11 heures";"10,48%";10;139,6;13
;;;;;"11 - 12 heures";"8,64%";8;143,88;11
;;;;;"12 - 13 heures";"13,11%";16;109,11;23
;;;;;"13 - 14 heures";"14,81%";14;140,86;22
;;;;;"14 - 15 heures";"7,40%";8;123,25;9
;;;;;"15 - 16 heures";"9,81%";13;100,45;14
;;;;;"16 - 17 heures";"14,71%";12;163,25;23
;;;;;"17 - 18 heures";"6,22%";10;82,86;13
;;;;;"18 - 19 heures";"6,50%";6;144,33;9
;;;;;"19 - 20 heures";"8,52%";7;162,07;9
;;;;;"20 - 21 heures";"2,33%";2;155;3
;;"05 Juin 2015";"05/06/2015";"Total";;"100,00%";"--";"--";154
;;;;"Vendredi";"Total";"100,00%";"--";"--";154
;;;;;"10 - 11 heures";"1,66%";3;73;3
;;;;;"11 - 12 heures";"11,17%";16;92,12;21
;;;;;"12 - 13 heures";"3,96%";7;74,71;8
;;;;;"13 - 14 heures";"8,53%";13;86,54;18
;;;;;"14 - 15 heures";"8,57%";10;113,09;13
;;;;;"15 - 16 heures";"14,51%";11;174,09;17
;;;;;"16 - 17 heures";"18,84%";18;138,11;27
;;;;;"17 - 18 heures";"13,82%";12;151,92;19
;;;;;"18 - 19 heures";"6,27%";7;118,13;12
;;;;;"19 - 20 heures";"8,71%";5;229,8;9
;;;;;"20 - 21 heures";"3,97%";3;174,67;7
;;"06 Juin 2015";"06/06/2015";"Total";;"100,00%";"--";"--";212
;;;;"Samedi";"Total";"100,00%";"--";"--";212
;;;;;"9 - 10 heures";"-0,20%";-1;36;-1
;;;;;"10 - 11 heures";"2,96%";6;87,17;9
;;;;;"11 - 12 heures";"9,78%";19;90,87;24
;;;;;"12 - 13 heures";"5,97%";13;81,14;15
;;;;;"13 - 14 heures";"2,80%";5;99;6
;;;;;"14 - 15 heures";"18,59%";21;156,33;32
;;;;;"15 - 16 heures";"17,62%";21;148,14;33
;;;;;"16 - 17 heures";"11,18%";24;82,28;28
;;;;;"17 - 18 heures";"13,06%";18;128,16;28
;;;;;"18 - 19 heures";"11,96%";18;117,33;25
;;;;;"19 - 20 heures";"6,28%";11;100,86;13
;;"08 Juin 2015";"08/06/2015";"Total";;"100,00%";"--";"--";79
;;;;"Lundi";"Total";"100,00%";"--";"--";79
;;;;;"10 - 11 heures";"1,26%";1;85;2
;;;;;"11 - 12 heures";"14,28%";7;137,14;10
;;;;;"12 - 13 heures";"10,77%";6;120,67;8
;;;;;"13 - 14 heures";"6,93%";2;233;5
;;;;;"14 - 15 heures";"9,82%";4;164,99;6
;;;;;"15 - 16 heures";"27,61%";16;116;21
;;;;;"16 - 17 heures";"12,21%";9;91,22;12
;;;;;"17 - 18 heures";"9,97%";8;83,75;8
;;;;;"18 - 19 heures";"6,77%";4;113,75;6
;;;;;"19 - 20 heures";"1,56%";2;52,5;2
;;;;;"20 - 21 heures";"-1,18%";-1;79;-1
;;"09 Juin 2015";"09/06/2015";"Total";;"100,00%";"--";"--";62
;;;;"Mardi";"Total";"100,00%";"--";"--";62
;;;;;"9 - 10 heures";"2,28%";1;114;2
;;;;;"10 - 11 heures";"8,60%";5;85,8;6
;;;;;"11 - 12 heures";"14,84%";6;123,42;8
;;;;;"12 - 13 heures";"6,07%";4;75,75;4
;;;;;"13 - 14 heures";"14,97%";8;93,37;9
;;;;;"14 - 15 heures";"4,73%";4;59;4
;;;;;"15 - 16 heures";"-0,74%";2;-18,5;0
;;;;;"16 - 17 heures";"25,01%";7;178,24;14
;;;;;"17 - 18 heures";"15,47%";3;257,33;5
;;;;;"18 - 19 heures";"4,55%";4;56,75;6
;;;;;"19 - 20 heures";"2,81%";3;46,67;3
;;;;;"20 - 21 heures";"1,40%";1;69,99;1
;;"10 Juin 2015";"10/06/2015";"Total";;"100,00%";"--";"--";589
;;;;"Mercredi";"Total";"100,00%";"--";"--";589
;;;;;"9 - 10 heures";"1,60%";9;71,9;13
;;;;;"10 - 11 heures";"9,79%";25;158,53;58
;;;;;"11 - 12 heures";"11,82%";35;136,72;65
;;;;;"12 - 13 heures";"12,94%";44;119,05;78
;;;;;"13 - 14 heures";"7,07%";30;95,4;43
;;;;;"14 - 15 heures";"7,84%";29;109,5;41
;;;;;"15 - 16 heures";"10,54%";35;121,92;63
;;;;;"16 - 17 heures";"10,93%";39;113,45;63
;;;;;"17 - 18 heures";"7,20%";36;80,92;50
;;;;;"18 - 19 heures";"8,71%";27;130,57;53
;;;;;"19 - 20 heures";"9,90%";35;114,45;51
;;;;;"20 - 21 heures";"1,66%";6;112,1;11
;;"11 Juin 2015";"11/06/2015";"Total";;"100,00%";"--";"--";496
;;;;"Jeudi";"Total";"100,00%";"--";"--";496
;;;;;"9 - 10 heures";"0,56%";2;89,25;3
;;;;;"10 - 11 heures";"5,66%";16;113,53;19
;;;;;"11 - 12 heures";"8,58%";26;105,98;39
;;;;;"12 - 13 heures";"6,58%";29;72,83;47
;;;;;"13 - 14 heures";"8,02%";30;85,82;46
;;;;;"14 - 15 heures";"4,85%";19;81,92;33
;;;;;"15 - 16 heures";"16,02%";44;116,88;80
;;;;;"16 - 17 heures";"13,53%";41;105,92;60
;;;;;"17 - 18 heures";"11,54%";34;108,9;58
;;;;;"18 - 19 heures";"9,97%";21;152,38;46
;;;;;"19 - 20 heures";"11,54%";30;123,49;51
;;;;;"20 - 21 heures";"3,15%";12;84,21;14
;;"12 Juin 2015";"12/06/2015";"Total";;"100,00%";"--";"--";879
;;;;"Vendredi";"Total";"100,00%";"--";"--";879
;;;;;"9 - 10 heures";"0,04%";1;24;1
;;;;;"10 - 11 heures";"3,15%";18;98,2;29
;;;;;"11 - 12 heures";"9,52%";56;95,31;97
;;;;;"12 - 13 heures";"7,04%";27;146,12;50
;;;;;"13 - 14 heures";"9,52%";57;93,66;95
;;;;;"14 - 15 heures";"9,83%";51;108,12;73
;;;;;"15 - 16 heures";"11,52%";64;100,92;96
;;;;;"16 - 17 heures";"14,84%";70;118,85;120
;;;;;"17 - 18 heures";"10,44%";50;117,05;90
;;;;;"18 - 19 heures";"10,41%";54;108,11;97
;;;;;"19 - 20 heures";"7,89%";46;96,16;85
;;;;;"20 - 21 heures";"5,80%";21;154,79;46
;;"13 Juin 2015";"13/06/2015";"Total";;"100,00%";"--";"--";945
;;;;"Samedi";"Total";"100,00%";"--";"--";945
;;;;;"9 - 10 heures";"0,77%";4;111,35;5
;;;;;"10 - 11 heures";"4,00%";28;83,02;47
;;;;;"11 - 12 heures";"9,97%";63;91,96;108
;;;;;"12 - 13 heures";"9,56%";62;89,6;105
;;;;;"13 - 14 heures";"7,03%";37;110,4;68
;;;;;"14 - 15 heures";"6,41%";41;90,88;70
;;;;;"15 - 16 heures";"13,00%";73;103,54;109
;;;;;"16 - 17 heures";"15,04%";91;96,05;135
;;;;;"17 - 18 heures";"14,61%";75;113,2;131
;;;;;"18 - 19 heures";"10,79%";58;108,17;88
;;;;;"19 - 20 heures";"8,42%";42;116,49;75
;;;;;"20 - 21 heures";"0,42%";3;80,83;4
;;"15 Juin 2015";"15/06/2015";"Total";;"100,00%";"--";"--";374
;;;;"Lundi";"Total";"100,00%";"--";"--";374
;;;;;"9 - 10 heures";"0,62%";0;;0
;;;;;"10 - 11 heures";"5,82%";14;98,83;21
;;;;;"11 - 12 heures";"5,97%";12;118,3;19
;;;;;"12 - 13 heures";"8,00%";18;105,57;33
;;;;;"13 - 14 heures";"14,47%";37;92,93;63
;;;;;"14 - 15 heures";"12,09%";29;99,06;43
;;;;;"15 - 16 heures";"14,96%";34;104,57;56
;;;;;"16 - 17 heures";"15,75%";28;133,69;47
;;;;;"17 - 18 heures";"7,68%";17;107,35;28
;;;;;"18 - 19 heures";"7,30%";19;91,26;24
;;;;;"19 - 20 heures";"6,10%";16;90,54;34
;;;;;"20 - 21 heures";"1,25%";3;99,33;6
;;"16 Juin 2015";"16/06/2015";"Total";;"100,00%";"--";"--";376
;;;;"Mardi";"Total";"100,00%";"--";"--";376
;;;;;"10 - 11 heures";"6,28%";14;108,27;19
;;;;;"11 - 12 heures";"8,63%";23;90,5;36
;;;;;"12 - 13 heures";"8,01%";21;92,08;33
;;;;;"13 - 14 heures";"17,09%";32;128,9;56
;;;;;"14 - 15 heures";"7,02%";15;112,94;23
;;;;;"15 - 16 heures";"14,81%";44;81,23;66
;;;;;"16 - 17 heures";"10,21%";27;91,27;44
;;;;;"17 - 18 heures";"9,44%";21;108,5;26
;;;;;"18 - 19 heures";"8,79%";17;124,79;28
;;;;;"19 - 20 heures";"5,65%";18;75,79;29
;;;;;"20 - 21 heures";"4,05%";8;122,01;16
;;"17 Juin 2015";"17/06/2015";"Total";;"100,00%";"--";"--";400
;;;;"Mercredi";"Total";"100,00%";"--";"--";400
;;;;;"9 - 10 heures";"0,87%";2;104,25;1
;;;;;"10 - 11 heures";"3,34%";10;80,47;11
;;;;;"11 - 12 heures";"10,74%";28;92,46;47
;;;;;"12 - 13 heures";"5,72%";17;81,08;19
;;;;;"13 - 14 heures";"10,48%";25;101,04;37
;;;;;"14 - 15 heures";"8,68%";24;87,14;42
;;;;;"15 - 16 heures";"13,24%";34;93,81;46
;;;;;"16 - 17 heures";"11,52%";31;89,56;47
;;;;;"17 - 18 heures";"12,62%";30;101,34;50
;;;;;"18 - 19 heures";"7,43%";28;63,95;37
;;;;;"19 - 20 heures";"11,77%";28;101,33;49
;;;;;"20 - 21 heures";"3,59%";9;96,08;14
;;"18 Juin 2015";"18/06/2015";"Total";;"100,00%";"--";"--";335
;;;;"Jeudi";"Total";"100,00%";"--";"--";335
;;;;;"10 - 11 heures";"5,61%";11;97,68;14
;;;;;"11 - 12 heures";"5,15%";16;61,61;18
;;;;;"12 - 13 heures";"7,13%";23;59,39;31
;;;;;"13 - 14 heures";"16,04%";34;90,32;53
;;;;;"14 - 15 heures";"10,28%";20;98,43;32
;;;;;"15 - 16 heures";"13,79%";36;73,36;49
;;;;;"16 - 17 heures";"10,98%";24;87,6;34
;;;;;"17 - 18 heures";"8,35%";16;99,94;26
;;;;;"18 - 19 heures";"17,03%";30;108,68;48
;;;;;"19 - 20 heures";"2,72%";12;43,41;22
;;;;;"20 - 21 heures";"2,90%";6;92,63;8
;;"19 Juin 2015";"19/06/2015";"Total";;"100,00%";"--";"--";433
;;;;"Vendredi";"Total";"100,00%";"--";"--";433
;;;;;"9 - 10 heures";"0,56%";1;155;1
;;;;;"10 - 11 heures";"3,09%";14;61,52;15
;;;;;"11 - 12 heures";"6,99%";23;84,73;31
;;;;;"12 - 13 heures";"10,33%";36;80,03;48
;;;;;"13 - 14 heures";"13,28%";34;108,93;54
;;;;;"14 - 15 heures";"7,65%";19;112,33;33
;;;;;"15 - 16 heures";"9,78%";32;85,23;42
;;;;;"16 - 17 heures";"13,47%";30;125,21;51
;;;;;"17 - 18 heures";"10,81%";32;94,17;49
;;;;;"18 - 19 heures";"10,36%";33;87,49;50
;;;;;"19 - 20 heures";"11,14%";22;141,13;45
;;;;;"20 - 21 heures";"2,54%";6;118,02;14
;;"20 Juin 2015";"20/06/2015";"Total";;"100,00%";"--";"--";630
;;;;"Samedi";"Total";"100,00%";"--";"--";630
;;;;;"9 - 10 heures";"1,45%";8;74,63;10
;;;;;"10 - 11 heures";"8,47%";27;129,58;51
;;;;;"11 - 12 heures";"9,27%";28;136,77;59
;;;;;"12 - 13 heures";"9,21%";37;102,81;56
;;;;;"13 - 14 heures";"8,55%";33;106,98;54
;;;;;"14 - 15 heures";"6,23%";19;135,54;39
;;;;;"15 - 16 heures";"10,30%";46;92,52;72
;;;;;"16 - 17 heures";"12,14%";50;100,33;81
;;;;;"17 - 18 heures";"12,70%";46;114,03;84
;;;;;"18 - 19 heures";"13,90%";40;143,54;71
;;;;;"19 - 20 heures";"7,41%";29;105,57;48
;;;;;"20 - 21 heures";"0,37%";3;51,43;5
;;"22 Juin 2015";"22/06/2015";"Total";;"100,00%";"--";"--";357
;;;;"Lundi";"Total";"100,00%";"--";"--";357
;;;;;"9 - 10 heures";"0,13%";1;29,99;1
;;;;;"10 - 11 heures";"6,07%";10;139,72;19
;;;;;"11 - 12 heures";"11,26%";29;89,42;46
;;;;;"12 - 13 heures";"14,10%";27;120,27;55
;;;;;"13 - 14 heures";"12,44%";28;102,35;47
;;;;;"14 - 15 heures";"9,66%";14;158,95;30
;;;;;"15 - 16 heures";"14,07%";31;104,52;50
;;;;;"16 - 17 heures";"13,87%";26;122,84;42
;;;;;"17 - 18 heures";"2,87%";10;66,1;13
;;;;;"18 - 19 heures";"4,28%";16;61,68;20
;;;;;"19 - 20 heures";"8,01%";17;108,48;28
;;;;;"20 - 21 heures";"3,24%";5;149,4;6
;;"23 Juin 2015";"23/06/2015";"Total";;"100,00%";"--";"--";342
;;;;"Mardi";"Total";"100,00%";"--";"--";342
;;;;;"10 - 11 heures";"6,05%";14;85,63;22
;;;;;"11 - 12 heures";"8,79%";24;72,64;31
;;;;;"12 - 13 heures";"9,24%";18;101,82;33
;;;;;"13 - 14 heures";"9,36%";26;71,39;40
;;;;;"14 - 15 heures";"13,17%";28;93,23;39
;;;;;"15 - 16 heures";"7,84%";16;97,08;26
;;;;;"16 - 17 heures";"16,32%";35;92,45;58
;;;;;"17 - 18 heures";"5,74%";14;81,29;17
;;;;;"18 - 19 heures";"10,38%";21;97,99;31
;;;;;"19 - 20 heures";"10,43%";27;76,54;40
;;;;;"20 - 21 heures";"2,68%";2;265,5;5
;;"24 Juin 2015";"24/06/2015";"Total";;"100,00%";"--";"--";1078
;;;;"Mercredi";"Total";"100,00%";"--";"--";1078
;;;;;"8 - 9 heures";"3,67%";21;101,19;36
;;;;;"9 - 10 heures";"6,13%";47;75,41;73
;;;;;"10 - 11 heures";"10,06%";73;79,73;110
;;;;;"11 - 12 heures";"12,48%";93;77,64;136
;;;;;"12 - 13 heures";"8,39%";59;82,26;88
;;;;;"13 - 14 heures";"6,80%";59;66,66;74
;;;;;"14 - 15 heures";"6,33%";52;70,45;81
;;;;;"15 - 16 heures";"9,84%";67;84,95;108
;;;;;"16 - 17 heures";"7,50%";63;68,81;85
;;;;;"17 - 18 heures";"5,76%";53;62,87;64
;;;;;"18 - 19 heures";"10,64%";62;99,27;97
;;;;;"19 - 20 heures";"10,29%";74;80,44;106
;;;;;"20 - 21 heures";"2,09%";15;80,42;20
;;"25 Juin 2015";"25/06/2015";"Total";;"100,00%";"--";"--";875
;;;;"Jeudi";"Total";"100,00%";"--";"--";875
;;;;;"9 - 10 heures";"0,82%";7;55,81;7
;;;;;"10 - 11 heures";"8,52%";49;82,9;73
;;;;;"11 - 12 heures";"8,71%";58;71,61;86
;;;;;"12 - 13 heures";"11,47%";63;86,81;102
;;;;;"13 - 14 heures";"9,54%";70;64,96;104
;;;;;"14 - 15 heures";"9,33%";51;87,19;79
;;;;;"15 - 16 heures";"11,37%";59;91,9;96
;;;;;"16 - 17 heures";"9,41%";52;86,27;79
;;;;;"17 - 18 heures";"12,27%";58;100,88;98
;;;;;"18 - 19 heures";"7,97%";53;71,65;64
;;;;;"19 - 20 heures";"7,89%";42;89,54;63
;;;;;"20 - 21 heures";"2,69%";17;75,36;24
;;"26 Juin 2015";"26/06/2015";"Total";;"100,00%";"--";"--";700
;;;;"Vendredi";"Total";"100,00%";"--";"--";700
;;;;;"9 - 10 heures";"0,24%";2;44,9;2
;;;;;"10 - 11 heures";"4,66%";23;77,2;30
;;;;;"11 - 12 heures";"12,26%";61;76,57;83
;;;;;"12 - 13 heures";"12,49%";59;80,66;87
;;;;;"13 - 14 heures";"8,06%";44;69,78;62
;;;;;"14 - 15 heures";"7,75%";37;79,86;60
;;;;;"15 - 16 heures";"9,78%";55;67,76;76
;;;;;"16 - 17 heures";"10,32%";60;65,56;80
;;;;;"17 - 18 heures";"8,45%";31;103,94;52
;;;;;"18 - 19 heures";"8,92%";41;82,88;60
;;;;;"19 - 20 heures";"11,16%";45;94,56;61
;;;;;"20 - 21 heures";"5,93%";29;77,88;47
;;"27 Juin 2015";"27/06/2015";"Total";;"100,00%";"--";"--";1332
;;;;"Samedi";"Total";"100,00%";"--";"--";1332
;;;;;"9 - 10 heures";"1,48%";18;54,55;21
;;;;;"10 - 11 heures";"9,06%";69;87,15;114
;;;;;"11 - 12 heures";"12,43%";101;81,64;176
;;;;;"12 - 13 heures";"12,67%";93;90,4;151
;;;;;"13 - 14 heures";"8,94%";64;92,67;118
;;;;;"14 - 15 heures";"7,19%";70;68,12;110
;;;;;"15 - 16 heures";"8,57%";80;71,07;114
;;;;;"16 - 17 heures";"10,94%";87;83,41;135
;;;;;"17 - 18 heures";"11,67%";100;77,4;162
;;;;;"18 - 19 heures";"9,51%";76;82,98;118
;;;;;"19 - 20 heures";"6,88%";67;68,14;101
;;;;;"20 - 21 heures";"0,67%";5;88,44;12
;;"29 Juin 2015";"29/06/2015";"Total";;"100,00%";"--";"--";958
;;;;"Lundi";"Total";"100,00%";"--";"--";958
;;;;;"9 - 10 heures";"0,30%";1;143,65;2
;;;;;"10 - 11 heures";"3,85%";26;69,8;44
;;;;;"11 - 12 heures";"10,45%";62;79,37;110
;;;;;"12 - 13 heures";"8,93%";63;66,78;98
;;;;;"13 - 14 heures";"10,15%";58;82,42;94
;;;;;"14 - 15 heures";"5,16%";28;86,83;47
;;;;;"15 - 16 heures";"13,47%";68;93,31;106
;;;;;"16 - 17 heures";"12,02%";73;77,54;130
;;;;;"17 - 18 heures";"8,38%";59;66,91;82
;;;;;"18 - 19 heures";"12,68%";62;96,37;105
;;;;;"19 - 20 heures";"11,45%";57;94,63;102
;;;;;"20 - 21 heures";"3,16%";16;93,12;38
;;"30 Juin 2015";"30/06/2015";"Total";;"100,00%";"--";"--";536
;;;;"Mardi";"Total";"100,00%";"--";"--";536
;;;;;"9 - 10 heures";"0,09%";1;27,6;1
;;;;;"10 - 11 heures";"6,82%";19;111,22;31
;;;;;"11 - 12 heures";"16,24%";57;88,23;78
;;;;;"12 - 13 heures";"9,05%";33;84,93;54
;;;;;"13 - 14 heures";"9,75%";42;71,87;52
;;;;;"14 - 15 heures";"10,99%";32;106,35;50
;;;;;"15 - 16 heures";"8,15%";35;72,13;43
;;;;;"16 - 17 heures";"9,75%";37;81,66;59
;;;;;"17 - 18 heures";"6,85%";26;81,56;38
;;;;;"18 - 19 heures";"8,90%";32;86,15;51
;;;;;"19 - 20 heures";"10,28%";39;81,63;63
;;;;;"20 - 21 heures";"3,15%";9;108,28;16
;;"01 Juillet 2015";"01/07/2015";"Total";;"100,00%";"--";"--";664
;;;;"Mercredi";"Total";"100,00%";"--";"--";664
;;;;;"9 - 10 heures";"0,01%";1;2,39;2
;;;;;"10 - 11 heures";"5,66%";26;77,06;43
;;;;;"11 - 12 heures";"7,53%";42;63,43;52
;;;;;"12 - 13 heures";"5,02%";27;65,87;44
;;;;;"13 - 14 heures";"15,95%";61;92,53;91
;;;;;"14 - 15 heures";"8,30%";37;79,37;53
;;;;;"15 - 16 heures";"13,21%";54;86,6;72
;;;;;"16 - 17 heures";"12,43%";49;89,81;86
;;;;;"17 - 18 heures";"12,85%";67;67,9;95
;;;;;"18 - 19 heures";"9,76%";47;73,47;60
;;;;;"19 - 20 heures";"6,37%";33;68,35;41
;;;;;"20 - 21 heures";"2,91%";13;79,14;25
;;"02 Juillet 2015";"02/07/2015";"Total";;"100,00%";"--";"--";672
;;;;"Jeudi";"Total";"100,00%";"--";"--";672
;;;;;"9 - 10 heures";"0,60%";3;72,3;5
;;;;;"10 - 11 heures";"5,67%";16;127,43;31
;;;;;"11 - 12 heures";"7,58%";38;71,67;51
;;;;;"12 - 13 heures";"10,06%";38;95,18;75
;;;;;"13 - 14 heures";"11,97%";50;86,03;83
;;;;;"14 - 15 heures";"8,49%";37;82,46;57
;;;;;"15 - 16 heures";"10,58%";44;86,41;77
;;;;;"16 - 17 heures";"10,91%";60;65,35;75
;;;;;"17 - 18 heures";"8,80%";45;70,3;59
;;;;;"18 - 19 heures";"7,61%";31;88,26;56
;;;;;"19 - 20 heures";"13,67%";37;132,8;68
;;;;;"20 - 21 heures";"4,04%";21;69,2;35
;;"03 Juillet 2015";"03/07/2015";"Total";;"100,00%";"--";"--";490
;;;;"Vendredi";"Total";"100,00%";"--";"--";490
;;;;;"9 - 10 heures";"-0,16%";1;-43,51;1
;;;;;"10 - 11 heures";"3,71%";17;59,19;23
;;;;;"11 - 12 heures";"5,45%";22;67,12;29
;;;;;"12 - 13 heures";"7,82%";28;75,68;44
;;;;;"13 - 14 heures";"12,76%";44;78,62;62
;;;;;"14 - 15 heures";"8,56%";33;70,29;43
;;;;;"15 - 16 heures";"11,10%";35;85,97;57
;;;;;"16 - 17 heures";"11,10%";36;83,58;51
;;;;;"17 - 18 heures";"8,15%";41;53,9;52
;;;;;"18 - 19 heures";"12,73%";39;88,51;56
;;;;;"19 - 20 heures";"12,46%";35;96,52;55
;;;;;"20 - 21 heures";"6,31%";10;171,05;17
;;"04 Juillet 2015";"04/07/2015";"Total";;"100,00%";"--";"--";911
;;;;"Samedi";"Total";"100,00%";"--";"--";911
;;;;;"9 - 10 heures";"0,74%";5;72,5;7
;;;;;"10 - 11 heures";"2,85%";15;93,53;18
;;;;;"11 - 12 heures";"8,66%";61;69,85;97
;;;;;"12 - 13 heures";"11,48%";68;83,12;106
;;;;;"13 - 14 heures";"8,15%";47;85,39;77
;;;;;"14 - 15 heures";"7,58%";40;93,33;58
;;;;;"15 - 16 heures";"12,16%";59;101,51;101
;;;;;"16 - 17 heures";"13,35%";74;88,84;124
;;;;;"17 - 18 heures";"11,28%";76;73,07;116
;;;;;"18 - 19 heures";"13,19%";80;81,15;119
;;;;;"19 - 20 heures";"10,15%";43;116,24;86
;;;;;"20 - 21 heures";"0,41%";1;200;2
;;"06 Juillet 2015";"06/07/2015";"Total";;"100,00%";"--";"--";412
;;;;"Lundi";"Total";"100,00%";"--";"--";412
;;;;;"9 - 10 heures";"0,39%";1;94,3;2
;;;;;"10 - 11 heures";"2,59%";7;89,36;14
;;;;;"11 - 12 heures";"6,43%";25;62,12;33
;;;;;"12 - 13 heures";"6,81%";25;65,76;27
;;;;;"13 - 14 heures";"10,32%";32;77,87;54
;;;;;"14 - 15 heures";"7,19%";22;78,94;28
;;;;;"15 - 16 heures";"12,43%";37;81,17;53
;;;;;"16 - 17 heures";"11,25%";28;97,05;39
;;;;;"17 - 18 heures";"10,45%";23;109,75;33
;;;;;"18 - 19 heures";"20,33%";44;111,63;74
;;;;;"19 - 20 heures";"7,52%";22;82,56;35
;;;;;"20 - 21 heures";"4,29%";10;103,75;20
;;"07 Juillet 2015";"07/07/2015";"Total";;"100,00%";"--";"--";620
;;;;"Mardi";"Total";"100,00%";"--";"--";620
;;;;;"9 - 10 heures";"0,42%";2;74,5;2
;;;;;"10 - 11 heures";"2,20%";9;85,73;17
;;;;;"11 - 12 heures";"4,59%";17;94,82;31
;;;;;"12 - 13 heures";"8,19%";26;110,54;46
;;;;;"13 - 14 heures";"13,33%";50;93,59;84
;;;;;"14 - 15 heures";"5,96%";24;87,17;33
;;;;;"15 - 16 heures";"14,79%";47;110,48;80
;;;;;"16 - 17 heures";"14,63%";49;104,79;86
;;;;;"17 - 18 heures";"11,35%";48;83,03;77
;;;;;"18 - 19 heures";"12,03%";52;81,22;83
;;;;;"19 - 20 heures";"8,54%";37;81,02;55
;;;;;"20 - 21 heures";"3,96%";14;99,39;26
;;"08 Juillet 2015";"08/07/2015";"Total";;"100,00%";"--";"--";737
;;;;"Mercredi";"Total";"100,00%";"--";"--";737
;;;;;"9 - 10 heures";"0,21%";1;81;1
